e_RBD;es_COD_ESPE
1;41001
40429;41001
6751;41001
12610;41001
12686;41001
3741;41001
3248;41001
12602;41001
4288;41001
8424;41001
1884;41001
25591;41001
20044;41001
25448;41001
13122;41001
13145;41001
13185;41001
9292;41002
10516;41002
178;41002
25082;41002
7129;41002
6252;41002
9347;41002
9375;41002
9377;41002
10541;41002
13185;41002
280;41002
9409;41002
9410;41002
19913;41002
25050;41002
9474;41002
18017;41002
396;41002
9489;41002
10551;41002
18080;41002
12115;41002
3434;41002
9583;41002
9584;41002
25591;41002
3479;41002
12117;41002
12151;41002
16448;41002
575;41002
12217;41002
609;41002
3640;41002
9637;41002
9646;41002
9660;41002
9665;41002
6751;41002
18004;41002
25028;41002
7102;41002
13590;41002
988;41002
8424;41002
9694;41002
10697;41002
10711;41002
9754;41002
7331;41002
9779;41002
1195;41002
3248;41002
24978;41002
1884;41002
17885;41002
9834;41002
7626;41002
16583;41002
10751;41002
7699;41002
10773;41002
7720;41002
4160;41002
4162;41002
24946;41002
10792;41002
9866;41002
1366;41002
10830;41002
10832;41002
10721;41002
9897;41002
8001;41002
9900;41002
9917;41002
12631;41002
1502;41002
10854;41002
31388;41002
24878;41002
24686;41002
24626;41002
4534;41002
9982;41002
31278;41002
9986;41002
10970;41002
1663;41002
16697;41002
26466;41002
26219;41002
2938;41002
22543;41002
4707;41002
26157;41002
25853;41002
1863;41002
14605;41002
25790;41002
25136;41002
6085;41002
12610;41002
12830;41002
4870;41002
8501;41002
2013;41002
8502;41002
8503;41002
4949;41002
25496;41002
4977;41002
10246;41002
8506;41002
40429;41002
8507;41002
2104;41002
8508;41002
10248;41002
10500;41002
5216;41002
8616;41002
10253;41002
10254;41002
12855;41002
8632;41002
8643;41002
8654;41002
2280;41002
11608;41002
8811;41002
5439;41002
11706;41002
5565;41002
97;41002
15767;41002
10399;41002
2444;41002
8938;41002
2454;41002
8945;41002
9006;41002
5655;41002
9058;41002
5663;41002
2552;41002
16443;41002
11818;41002
2657;41002
10419;41002
19925;41002
9065;41002
9075;41002
2835;41002
25418;41002
20037;41002
25396;41002
6163;41002
25220;41002
280;41003
20044;41004
7;41005
52;41005
31080;41005
9077;41005
9082;41005
9087;41005
109;41005
31116;41005
161;41005
191;41005
9106;41005
200;41005
9172;41005
9182;41005
31128;41005
31345;41005
9328;41005
9332;41005
40080;41005
40208;41005
9411;41005
372;41005
379;41005
9472;41005
10832;41005
40301;41005
41375;41005
430;41005
437;41005
41617;41005
9599;41005
97;41005
10773;41005
486;41005
518;41005
9634;41005
10751;41005
578;41005
9688;41005
9690;41005
9693;41005
646;41005
656;41005
396;41005
20037;41005
768;41005
9781;41005
10721;41005
845;41005
9799;41005
9810;41005
10711;41005
1121;41005
1148;41005
9829;41005
1167;41005
1184;41005
1196;41005
9853;41005
575;41005
1213;41005
609;41005
1261;41005
9862;41005
9864;41005
988;41005
10541;41005
1292;41005
1195;41005
1301;41005
1318;41005
1327;41005
1335;41005
1366;41005
9909;41005
1361;41005
9942;41005
9945;41005
1422;41005
1502;41005
9955;41005
1449;41005
10254;41005
10253;41005
9985;41005
1500;41005
19925;41005
10044;41005
10052;41005
1517;41005
10058;41005
1663;41005
1884;41005
10075;41005
1549;41005
10076;41005
10077;41005
1672;41005
1674;41005
10248;41005
10246;41005
1739;41005
1755;41005
10158;41005
2013;41005
1864;41005
10210;41005
10232;41005
2104;41005
1958;41005
1996;41005
9986;41005
10313;41005
10396;41005
2064;41005
9982;41005
2280;41005
2078;41005
2084;41005
2102;41005
2444;41005
10432;41005
7129;41005
2454;41005
10456;41005
2134;41005
2205;41005
10470;41005
9900;41005
2552;41005
2263;41005
10501;41005
18080;41005
2319;41005
2375;41005
2378;41005
9866;41005
2422;41005
2442;41005
10542;41005
2448;41005
10543;41005
2938;41005
9834;41005
2530;41005
9754;41005
9694;41005
9665;41005
10632;41005
9584;41005
2793;41005
2794;41005
2836;41005
3479;41005
10658;41005
2934;41005
10663;41005
9489;41005
10696;41005
3640;41005
2974;41005
10725;41005
9409;41005
3016;41005
9375;41005
10735;41005
9347;41005
7102;41005
9292;41005
4160;41005
4162;41005
9065;41005
10873;41005
4288;41005
3290;41005
4534;41005
10967;41005
3313;41005
9058;41005
4707;41005
3348;41005
3387;41005
8811;41005
8643;41005
11111;41005
11139;41005
8632;41005
3540;41005
3609;41005
4949;41005
4977;41005
5216;41005
3643;41005
11287;41005
16583;41005
8616;41005
11498;41005
8508;41005
3796;41005
8507;41005
3802;41005
5565;41005
11805;41005
8503;41005
3887;41005
11883;41005
11931;41005
8502;41005
3940;41005
8501;41005
5655;41005
3976;41005
280;41005
3998;41005
4025;41005
6085;41005
12005;41005
4102;41005
8001;41005
3248;41005
6751;41005
12050;41005
8424;41005
12610;41005
12111;41005
4277;41005
13185;41005
12225;41005
12242;41005
4331;41005
40429;41005
12518;41005
12547;41005
12566;41005
12603;41005
12649;41005
12650;41005
12652;41005
16448;41005
4536;41005
12716;41005
4559;41005
12747;41005
12759;41005
4672;41005
4700;41005
12842;41005
4706;41005
4708;41005
13156;41005
4717;41005
4782;41005
16443;41005
13341;41005
4825;41005
4897;41005
13420;41005
13427;41005
13475;41005
4983;41005
5021;41005
13558;41005
5105;41005
13576;41005
13582;41005
13606;41005
14202;41005
5270;41005
14418;41005
14865;41005
5323;41005
14877;41005
14881;41005
5393;41005
15583;41005
15646;41005
15720;41005
15739;41005
5574;41005
31388;41005
15759;41005
5656;41005
15775;41005
5703;41005
15840;41005
16417;41005
5921;41005
16434;41005
10405;41005
16459;41005
5992;41005
6027;41005
16462;41005
6070;41005
16549;41005
26466;41005
16570;41005
13590;41005
16608;41005
26157;41005
6253;41005
16676;41005
16729;41005
16793;41005
16942;41005
17635;41005
17772;41005
6465;41005
17782;41005
17790;41005
6585;41005
6586;41005
25853;41005
6643;41005
17818;41005
17892;41005
18090;41005
19906;41005
13145;41005
6897;41005
20103;41005
6922;41005
12855;41005
6929;41005
20175;41005
12830;41005
7626;41005
7044;41005
7331;41005
22012;41005
22022;41005
12631;41005
7200;41005
22317;41005
7328;41005
12602;41005
22415;41005
7505;41005
22436;41005
7544;41005
22464;41005
22494;41005
22597;41005
7629;41005
12217;41005
7705;41005
7722;41005
7743;41005
12151;41005
12117;41005
25028;41005
7941;41005
7956;41005
22755;41005
12115;41005
24316;41005
24407;41005
8109;41005
24878;41005
24496;41005
24685;41005
8206;41005
24885;41005
8345;41005
24892;41005
25026;41005
25215;41005
25250;41005
25304;41005
24686;41005
8411;41005
24626;41005
25368;41005
25387;41005
25450;41005
8457;41005
25458;41005
25645;41005
25671;41005
25779;41005
