e_RBD;n_ID_NIVEL;CANTIDAD_NIVEL
2;1;112
8;1;44
9;1;174
10;1;16
11;1;41
12;1;36
13;1;28
14;1;68
16;1;42
17;1;55
18;1;46
19;1;31
20;1;53
22;1;113
25;1;77
26;1;19
27;1;39
28;1;58
29;1;78
31;1;76
32;1;115
33;1;37
35;1;28
36;1;57
38;1;74
39;1;44
43;1;20
45;1;63
49;1;22
52;1;282
56;1;54
59;1;34
60;1;136
66;1;5
67;1;30
69;1;29
78;1;25
110;1;186
111;1;131
112;1;129
113;1;119
114;1;46
116;1;128
117;1;87
119;1;68
122;1;37
123;1;45
125;1;114
126;1;108
129;1;19
132;1;78
133;1;66
156;1;10
160;1;8
161;1;62
167;1;16
178;1;31
187;1;62
188;1;24
192;1;6
193;1;129
195;1;61
198;1;18
201;1;129
203;1;38
204;1;102
205;1;60
206;1;59
208;1;117
210;1;92
236;1;208
237;1;225
241;1;197
244;1;272
245;1;120
246;1;1
253;1;54
255;1;72
262;1;192
265;1;140
269;1;236
270;1;54
271;1;7
277;1;8
284;1;67
285;1;25
289;1;117
291;1;53
292;1;103
293;1;156
296;1;48
297;1;66
298;1;61
301;1;99
302;1;98
303;1;94
304;1;138
305;1;138
306;1;50
307;1;259
310;1;84
312;1;102
313;1;120
315;1;44
316;1;59
317;1;110
318;1;65
319;1;86
320;1;105
322;1;98
324;1;66
326;1;81
329;1;68
330;1;174
332;1;59
333;1;192
335;1;87
342;1;141
343;1;62
344;1;70
356;1;149
357;1;116
358;1;20
361;1;121
364;1;54
365;1;87
366;1;128
367;1;101
368;1;222
370;1;31
371;1;19
374;1;93
375;1;68
380;1;46
381;1;10
382;1;49
386;1;83
390;1;51
401;1;162
403;1;28
405;1;59
406;1;94
407;1;48
408;1;110
410;1;80
411;1;107
413;1;26
416;1;82
417;1;57
418;1;125
419;1;78
420;1;147
421;1;113
423;1;62
427;1;68
429;1;299
430;1;81
431;1;58
434;1;158
440;1;126
441;1;16
442;1;47
444;1;30
445;1;10
446;1;10
450;1;29
452;1;41
453;1;114
454;1;88
455;1;56
458;1;26
459;1;35
461;1;33
462;1;48
463;1;20
464;1;31
471;1;13
476;1;14
478;1;171
479;1;79
481;1;48
482;1;14
484;1;12
487;1;30
489;1;36
492;1;49
493;1;22
499;1;24
519;1;73
521;1;45
522;1;25
523;1;15
525;1;38
526;1;52
527;1;43
528;1;56
530;1;39
531;1;33
534;1;21
535;1;56
536;1;23
539;1;21
540;1;12
542;1;22
543;1;18
546;1;17
548;1;13
551;1;25
556;1;22
557;1;50
560;1;29
562;1;25
565;1;64
566;1;19
567;1;152
568;1;33
570;1;79
573;1;75
580;1;71
581;1;104
583;1;137
585;1;175
590;1;41
591;1;95
597;1;41
599;1;14
602;1;27
612;1;24
613;1;13
614;1;18
615;1;33
616;1;40
617;1;16
618;1;74
620;1;59
621;1;19
625;1;22
626;1;76
628;1;27
629;1;51
630;1;38
631;1;75
632;1;57
637;1;28
639;1;19
643;1;26
646;1;51
648;1;144
649;1;92
650;1;33
655;1;44
657;1;33
658;1;47
664;1;73
666;1;10
668;1;32
669;1;13
671;1;12
672;1;19
673;1;9
678;1;10
680;1;15
682;1;14
686;1;15
690;1;68
691;1;26
692;1;32
694;1;21
706;1;49
707;1;35
708;1;46
709;1;27
710;1;16
711;1;23
712;1;68
713;1;40
714;1;35
715;1;30
716;1;38
718;1;23
721;1;39
722;1;21
725;1;21
729;1;10
730;1;23
731;1;11
733;1;10
737;1;12
740;1;14
743;1;12
747;1;18
750;1;16
753;1;21
757;1;7
763;1;155
766;1;130
769;1;150
770;1;76
773;1;5
774;1;12
793;1;8
798;1;90
799;1;28
800;1;11
803;1;23
804;1;14
821;1;18
822;1;21
827;1;31
833;1;16
837;1;14
839;1;7
847;1;88
848;1;36
849;1;15
851;1;5
852;1;16
876;1;16
897;1;22
905;1;12
908;1;13
910;1;6
915;1;10
924;1;5
929;1;16
932;1;13
937;1;13
946;1;23
947;1;16
959;1;33
969;1;52
970;1;42
971;1;35
972;1;29
973;1;26
974;1;16
976;1;20
977;1;23
982;1;40
987;1;146
990;1;35
1014;1;32
1015;1;33
1016;1;13
1017;1;11
1018;1;11
1019;1;31
1020;1;15
1022;1;13
1031;1;4
1033;1;13
1036;1;87
1049;1;77
1050;1;48
1051;1;61
1052;1;29
1059;1;30
1066;1;100
1077;1;41
1078;1;17
1087;1;38
1100;1;9
1122;1;39
1123;1;51
1125;1;15
1128;1;33
1139;1;9
1147;1;14
1148;1;14
1149;1;19
1152;1;14
1157;1;12
1160;1;6
1161;1;28
1162;1;8
1164;1;52
1166;1;16
1168;1;36
1170;1;27
1173;1;19
1174;1;20
1176;1;12
1178;1;28
1180;1;48
1183;1;50
1184;1;63
1189;1;54
1190;1;55
1191;1;55
1192;1;49
1197;1;132
1198;1;29
1200;1;32
1202;1;37
1203;1;52
1204;1;18
1208;1;21
1210;1;32
1211;1;32
1212;1;7
1213;1;85
1215;1;98
1216;1;47
1217;1;76
1218;1;78
1220;1;20
1221;1;26
1225;1;90
1226;1;19
1229;1;55
1233;1;35
1234;1;35
1235;1;29
1238;1;8
1240;1;16
1243;1;4
1245;1;14
1246;1;32
1247;1;12
1248;1;23
1249;1;20
1250;1;11
1251;1;31
1252;1;12
1256;1;30
1257;1;50
1258;1;34
1259;1;28
1260;1;52
1263;1;18
1264;1;54
1265;1;34
1266;1;19
1268;1;61
1269;1;37
1271;1;42
1273;1;7
1274;1;27
1275;1;29
1279;1;28
1280;1;22
1281;1;17
1282;1;15
1283;1;9
1285;1;21
1286;1;20
1287;1;16
1288;1;117
1290;1;46
1291;1;72
1292;1;102
1294;1;67
1301;1;19
1302;1;16
1304;1;20
1305;1;15
1307;1;24
1308;1;2
1309;1;8
1310;1;15
1312;1;17
1313;1;12
1316;1;73
1318;1;25
1321;1;33
1322;1;11
1323;1;6
1325;1;10
1326;1;11
1327;1;77
1328;1;23
1329;1;20
1331;1;8
1332;1;14
1333;1;8
1336;1;24
1337;1;13
1338;1;35
1339;1;18
1340;1;18
1341;1;46
1342;1;10
1343;1;9
1345;1;10
1346;1;10
1347;1;58
1349;1;57
1350;1;46
1352;1;42
1353;1;15
1355;1;13
1358;1;21
1359;1;24
1360;1;15
1361;1;30
1363;1;27
1364;1;52
1368;1;31
1369;1;20
1370;1;57
1371;1;69
1377;1;43
1378;1;33
1384;1;26
1385;1;22
1389;1;10
1390;1;15
1393;1;75
1394;1;13
1395;1;115
1397;1;28
1403;1;35
1404;1;117
1405;1;97
1412;1;33
1414;1;30
1416;1;33
1417;1;27
1418;1;8
1419;1;14
1421;1;17
1423;1;14
1424;1;29
1425;1;33
1427;1;40
1430;1;17
1431;1;29
