COD_ESPE;NOMBRE_ESPECIALIDAD
41001;Administración
0;Ciclo General / Sin información
41005;Administración (con mención)
72007;Agropecuaria (con mención)
41002;Contabilidad
52010;Mecánica Automotriz
52009;Construcciones Metálicas
52013;Mecánica Industrial (con mención)
56027;Química Industrial (con mención)
64001;
53015;Electrónica
51003;Montaje Industrial
61002;Servicio de Alimentación Colectiva
55022;Gráfica
91004;
54018;Explotación minera
61001;Elaboración Industrial de Alimentos
51009;Construcción (con mención)
61003;Gastronomía (con mención)
58033;Conectividad y Redes
53014;Electricidad
51006;Refrigeración y climatización
51005;Instalaciones Sanitarias
54020;Asistencia en geología
58034;Programación
55023;Dibujo Técnico
71003;Productos de la madera
63009;Servicio de turismo
64008;
71001;Forestal
58035;Telecomunicaciones
81003;Acuicultura
63011;Servicio de hotelería
51001;Edificación
91001;Artes Visuales
57030;Vestuario y Confección Textil
62006;Atención de Enfermería
54019;Metalurgia Extractiva
52008;Mecánica Industrial
62005;Atención de adultos mayores
62004;Atención de párvulos
41003;Secretariado
91005;
81004;Operación portuaria
71005;Muebles y Terminaciones de la Madera
52012;Mecánica de mantención de aeronaves
41004;Ventas
81005;Tripulación naves mercantes y especiales
63010;Servicios Hoteleros
62007;Atención Social y Recreativa
