RBD;c_COD_COM_RBD;DGV_RBD;NOM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;LATITUD;LONGITUD;CONVENIO_PIE;PACE;MAT_TOTAL;MATRICULA;ESTADO_ESTAB;ORI_RELIGIOSA;ORI_OTRO_GLOSA;PAGO_MATRICULA;PAGO_MENSUAL
1;15101;9;LICEO POLITECNICO ARICA;6;5;0;-18.4872;-70.295212;1;1;1086;1;1;2;;GRATUITO;GRATUITO
2;15101;7;PARVULARIO LAS ESPIGUITAS;6;5;0;-18.46986198;-70.30275726;1;0;112;1;1;1;;GRATUITO;GRATUITO
3;15101;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;6;5;1;-18.50358009;-70.26082611;0;0;497;1;1;1;;GRATUITO;GRATUITO
4;15101;3;LICEO OCTAVIO PALMA PEREZ;6;5;0;-18.474239;-70.308273;1;1;1279;1;1;1;;GRATUITO;GRATUITO
5;15101;1;JOVINA NARANJO FERNANDEZ;6;5;0;-18.4769;-70.313454;1;1;783;1;1;7;PLURALISTA;GRATUITO;GRATUITO
7;15101;8;L. POLI. BICENTENARIO DE EXCELENCIA ANTONIO VARAS DE LA BARRA;6;5;0;-18.476151;-70.288368;1;1;1110;1;1;1;;GRATUITO;GRATUITO
8;15101;6;COLEGIO EDUARDO FREI MONTALVA;6;5;0;-18.482491;-70.317581;1;1;806;1;1;7;LAICO;GRATUITO;GRATUITO
9;15101;4;ESCUELA REPUBLICA DE ISRAEL;6;5;0;-18.486691;-70.30452;1;0;1379;1;1;2;;GRATUITO;GRATUITO
10;15101;8;ESCUELA REPUBLICA DE FRANCIA;6;5;0;-18.474369;-70.309036;1;0;137;1;1;1;;GRATUITO;GRATUITO
11;15101;6;ESC. GRAL. PEDRO LAGOS MARCHANT;6;5;0;-18.491011;-70.311577;1;0;322;1;1;7;LAICA;GRATUITO;GRATUITO
12;15101;4;ESCUELA GRAL JOSE MIGUEL CARRERA;6;5;0;-18.49193;-70.293968;1;0;301;1;1;1;;GRATUITO;GRATUITO
13;15101;2;ESCUELA MANUEL RODRIGUEZ ERDOYZA;6;5;0;-18.48134;-70.285347;1;0;245;1;1;1;;GRATUITO;GRATUITO
14;15101;0;ESCUELA ROMULO J. PENA MATURANA;6;5;0;-18.481239;-70.289757;1;0;359;1;1;1;;GRATUITO;GRATUITO
15;15101;9;LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI;6;5;0;-18.47138596;-70.300354;1;0;393;1;1;7;LAICA;GRATUITO;GRATUITO
16;15101;7;ESCUELA REGIMIENTO RANCAGUA;6;5;0;-18.474831;-70.308777;1;0;273;1;1;1;;GRATUITO;GRATUITO
17;15101;5;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;6;5;0;-18.46727;-70.290939;1;0;438;1;1;2;;GRATUITO;GRATUITO
18;15101;3;ESC. COMTE. JUAN JOSE SAN MARTIN;6;5;0;-18.476681;-70.287788;1;0;321;1;1;2;;GRATUITO;GRATUITO
19;15101;1;ESC. HUMBERTO VALENZUELA GARCIA;6;5;0;-18.474661;-70.291908;1;0;273;1;1;2;;GRATUITO;GRATUITO
20;15101;5;ESCUELA TUCAPEL;6;5;0;-18.4797;-70.295502;1;0;428;1;1;1;;GRATUITO;GRATUITO
21;15101;3;ESCUELA CARLOS GUIRAO MASSIF;6;5;0;-18.48379188;-70.30008008;0;0;0;0;3;1;;GRATUITO;GRATUITO
22;15101;1;ESCUELA GABRIELA MISTRAL;6;5;0;-18.44829;-70.290649;1;0;886;1;1;1;;GRATUITO;GRATUITO
25;15101;6;COLEGIO CENTENARIO DE ARICA;6;5;0;-18.440001;-70.293381;1;1;836;1;1;7;LAICO;GRATUITO;GRATUITO
26;15101;4;ESCUELA REPUBLICA DE ARGENTINA;6;5;0;-18.48361;-70.300591;1;0;235;1;1;2;;GRATUITO;GRATUITO
27;15101;2;ESCUELA ESMERALDA;6;5;0;-18.483049;-70.308029;1;0;288;1;1;2;;GRATUITO;GRATUITO
28;15101;0;ESCUELA RICARDO SILVA ARRIAGADA;6;5;0;-18.485069;-70.294403;1;0;670;1;1;2;;GRATUITO;GRATUITO
29;15101;9;ESCUELA AMERICA;6;5;0;-18.47761;-70.28302;1;0;535;1;1;7;FORMACIÓN VALÓRICA;GRATUITO;GRATUITO
30;15101;2;ESCUELA DR. RICARDO OLEA GUERRA;6;5;0;-18.48061752;-70.28401184;0;0;173;1;1;1;;GRATUITO;GRATUITO
31;15101;0;ESCUELA DARIO SALAS DIAZ;6;5;1;-18.50066;-70.254593;1;0;384;1;1;1;;GRATUITO;GRATUITO
32;15101;9;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;6;5;1;-18.51926;-70.178741;1;1;829;1;1;2;;GRATUITO;GRATUITO
33;15101;7;ESCUELA CARLOS CONDELL DE LA HAZA;6;5;1;-18.41711;-70.225853;1;0;198;1;1;7;LAICA;GRATUITO;GRATUITO
35;15101;3;ESCUELA GRAL. MANUEL BAQUEDANO;6;5;1;-18.451719;-70.067574;1;0;138;1;1;2;;GRATUITO;GRATUITO
36;15101;1;ESCUELA IGNACIO CARRERA PINTO;6;5;0;-18.4956;-70.283524;1;0;331;1;1;2;;GRATUITO;GRATUITO
38;15101;8;ESCUELA ESPAÑA;6;5;1;-18.558821;-70.100723;1;0;492;1;1;2;;GRATUITO;GRATUITO
39;15101;6;ESCUELA PAMPA ALGODONAL;6;5;1;-18.578211;-69.965172;1;0;148;1;1;1;;GRATUITO;GRATUITO
41;15101;8;ESCUELA VALLE DE CHACA;6;5;1;-18.820641;-70.140381;0;0;88;1;1;2;;GRATUITO;GRATUITO
42;15101;6;ESCUELA MOLINOS LLUTA;6;5;1;-18.38175;-69.944893;0;0;24;1;1;1;;GRATUITO;GRATUITO
43;15101;4;JARDIN INFANTIL CEPILLIN;3;2;0;-18.439636;-70.290726;0;0;20;1;1;1;;GRATUITO;GRATUITO
44;15101;2;JARDIN INFANTIL PEQUENILANDIA;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
45;15101;0;COLEGIO ITALIANO SANTA ANA;3;2;0;-18.483061;-70.314301;0;0;831;1;1;2;;GRATUITO;GRATUITO
46;15101;9;JARDIN INFANTIL SAN ANDRES;3;2;0;;;0;0;0;0;3;2;;GRATUITO;GRATUITO
